,label,thresh,coordinates
409,0,0,"['107', '-21', '-26', '-102', '-8', '-6', '0']"
410,0,0,"['117', '-25', '-23', '-112', '-13', '-9', '0']"
411,0,0,"['116', '-30', '-15', '-111', '-14', '-8', '0']"
412,0,0,"['134', '-31', '-19', '-129', '-12', '-7', '-2']"
413,0,0,"['161', '-30', '-19', '-157', '-11', '-7', '-4']"
414,0,0,"['183', '-60', '-34', '-170', '-10', '-6', '-6']"
415,0,0,"['200', '-65', '-18', '-188', '-15', '1', '-12']"
416,0,0,"['186', '-46', '-9', '-180', '-4', '3', '-11']"
417,0,0,"['186', '-68', '-14', '-173', '-4', '-1', '-5']"
418,0,0,"['188', '-94', '-11', '-162', '-9', '11', '-8']"
419,0,0,"['186', '-118', '0', '-144', '-10', '43', '-17']"
420,0,0,"['146', '-111', '37', '-87', '0', '43', '-16']"
421,0,0,"['95', '-74', '21', '-55', '15', '43', '-10']"
422,4,1,"['418', '-208', '-296', '-210', '-42', '-43', '-43']"
423,0,0,"['96', '24', '15', '-92', '8', '-5', '-3']"
